route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
V4-100-93,1,4,4 - Fira València - Tarongers - Ernest Lluch,0,014A99,FFFFFF
V6-132-127,1,6,6 - Tossal del Rei - Canyamelar,0,8884BF,FFFFFF
V1-20-1,1,1,1 - València Sud - Castelló,1,FEC601,FFFFFF
V8-98-123,1,8,8 - Dr. Lluch - Marítim,0,82CEE6,FFFFFF
V4-98-111,1,4,4 - Dr. Lluch - Parc Científic,0,014A99,FFFFFF
V4-102-92,1,4,4 - Vicent Andrés Estellés - La Carrasca,0,014A99,FFFFFF
V4-97-113,1,4,4 - Platja les Arenes - La Coma,0,014A99,FFFFFF
V4-97-112,1,4,4 - Platja les Arenes - Tomás y Valiente,0,014A99,FFFFFF
V4-104-94,1,4,4 - Sant Joan - Beteró,0,014A99,FFFFFF
V4-102-115,1,4,4 - Vicent Andrés Estellés - Ll. Llarga - Terramelar,0,014A99,FFFFFF
V6-124-129,1,6,6 - Francesc Cubells - Orriols,0,8884BF,FFFFFF
V4-94-105,1,4,4 - Beteró - La Granja,0,014A99,FFFFFF
V4-93-100,1,4,4 - Tarongers - Ernest Lluch - Fira València,1,014A99,FFFFFF
V4-87-98,1,4,4 - Pont de Fusta - Dr. Lluch,1,014A99,FFFFFF
V6-95-132,1,6,6 - La Cadena - Tossal del Rei,1,8884BF,FFFFFF
V4-96-111,1,4,4 - Platja Malva-rosa - Parc Científic,1,014A99,FFFFFF
V4-94-80,1,4,4 - Beteró - Florista,1,014A99,FFFFFF
V4-67-114,1,4,4 - Benimaclet - Mas del Rosari,1,014A99,FFFFFF
V4-104-95,1,4,4 - Sant Joan - La Cadena,1,014A99,FFFFFF
V4-80-99,1,4,4 - Florista - Cabanyal,1,014A99,FFFFFF
V4-112-95,1,4,4 - Tomás y Valiente - La Cadena,1,014A99,FFFFFF
